Store,Items,Amount,Category
Subway,takeout #9651,560.91,Food & Dining
Steam,game entertainment music,35.76,Entertainment
Walgreens,doctor medical prescription,64.05,Healthcare
Electric Company,payment monthly,300.67,Bills & Utilities
Shell,gas ride fuel #8997,69.76,Transportation
Subway,dinner,334.52,Food & Dining
Safeway,dairy meat bread,87.26,Groceries
Chipotle,delivery,114.73,Food & Dining
Xbox,game,17.02,Entertainment
Water Service,service payment utility #1898,512.88,Bills & Utilities
Water Service,utility #4976,237.67,Bills & Utilities
Xbox,streaming game entertainment,22.53,Entertainment
Walgreens,prescription medical,137.87,Healthcare
Unknown Vendor,payment,479.78,Others
Miscellaneous,misc #9996,961.72,Others
Uber,transit,31.42,Transportation
Walmart,groceries #2017,135.48,Groceries
Safeway,dairy food meat,84.47,Groceries
H&M,clothes electronics #7416,123.27,Shopping
Walgreens,medicine medical,309.63,Healthcare
Electric Company,utility bill service,255.59,Bills & Utilities
Uber,gas taxi,24.25,Transportation
Walgreens,prescription medical doctor #7986,392.53,Healthcare
Chipotle,delivery,133.18,Food & Dining
Trader Joes,produce dairy groceries,91.43,Groceries
Amazon,shoes clothes #7869,287.82,Shopping
Verizon,monthly #6959,400.45,Bills & Utilities
Netflix,movie music game #3363,13.55,Entertainment
Nike,clothes electronics,264.33,Shopping
CVS,medicine health #5286,466.69,Healthcare
Pizza Hut,meal lunch takeout,729.81,Food & Dining
Metro,transportation #2113,26.17,Transportation
Pizza Hut,lunch takeout meal,618.94,Food & Dining
Quest Diagnostics,medical medicine prescription #3860,464.73,Healthcare
Local Restaurant,takeout lunch meal,442.15,Food & Dining
Kroger,dairy bread,23.21,Groceries
Water Service,monthly service,987.29,Bills & Utilities
Walgreens,doctor health prescription,296.36,Healthcare
Walmart,dairy meat #6212,158.63,Groceries
Verizon,payment,517.98,Bills & Utilities
Spotify,movie entertainment streaming,42.35,Entertainment
McDonalds,dinner,779.42,Food & Dining
Whole Foods,meat,199.01,Groceries
AMC Theaters,game #8671,16.39,Entertainment
Target,accessories shoes,104.42,Shopping
Unknown Vendor,misc #6346,351.54,Others
Safeway,food meat produce,180.36,Groceries
Metro,taxi transit transportation #7575,29.6,Transportation
H&M,shoes accessories,108.46,Shopping
BP,ride fuel,41.98,Transportation
Pizza Hut,lunch dinner,35.1,Food & Dining
AT&T,utility monthly #7205,213.53,Bills & Utilities
Various Services,misc,741.33,Others
Walmart,produce dairy meat,64.93,Groceries
Unknown Vendor,service misc other #3398,397.11,Others
CVS,prescription,62.07,Healthcare
Whole Foods,produce,85.74,Groceries
Walmart,bread dairy groceries,171.21,Groceries
Whole Foods,food dairy bread,122.7,Groceries
Miscellaneous,misc,272.57,Others
Spotify,movie,25.18,Entertainment
Target,accessories electronics clothes,244.13,Shopping
Walmart,dairy meat,180.25,Groceries
Unknown Vendor,payment #4330,214.13,Others
Miscellaneous,service,305.4,Others
Pizza Hut,restaurant,469.08,Food & Dining
AMC Theaters,entertainment streaming,14.84,Entertainment
Safeway,bread #1702,23.95,Groceries
Steam,game,49.7,Entertainment
AT&T,utility monthly #2829,595.56,Bills & Utilities
Various Services,other general payment #1408,23.64,Others
Steam,entertainment,42.01,Entertainment
Walmart,dairy food,31.03,Groceries
Chipotle,delivery restaurant dinner,641.33,Food & Dining
Water Service,bill monthly payment,666.87,Bills & Utilities
Electric Company,monthly bill utility,638.3,Bills & Utilities
Verizon,bill monthly,423.09,Bills & Utilities
BP,gas,59.78,Transportation
Local Restaurant,delivery #1612,256.1,Food & Dining
Unknown Vendor,misc service general,911.81,Others
Target,accessories purchase,203.5,Shopping
Target,clothes,78.51,Shopping
Electric Company,monthly utility payment,766.56,Bills & Utilities
Electric Company,monthly utility,965.25,Bills & Utilities
Verizon,monthly #4658,857.09,Bills & Utilities
Local Clinic,health medicine prescription,205.3,Healthcare
Pizza Hut,lunch,430.01,Food & Dining
AMC Theaters,game,24.64,Entertainment
Steam,movie music streaming,16.5,Entertainment
Water Service,utility bill #7392,475.7,Bills & Utilities
Electric Company,payment utility,799.69,Bills & Utilities
Various Services,general misc,98.96,Others
Trader Joes,bread food produce #2184,48.55,Groceries
Verizon,service,418.79,Bills & Utilities
CVS,health medical,94.1,Healthcare
Unknown Vendor,general other payment #2501,200.44,Others
Pizza Hut,restaurant,842.23,Food & Dining
Local Restaurant,takeout restaurant,572.74,Food & Dining
Best Buy,electronics shoes,51.29,Shopping
Nike,accessories #2520,105.11,Shopping
Walgreens,doctor prescription,280.76,Healthcare
Verizon,bill,35.22,Bills & Utilities
Local Clinic,health,416.52,Healthcare
BP,taxi,44.2,Transportation
Pizza Hut,takeout restaurant,55.7,Food & Dining
Miscellaneous,payment misc,154.05,Others
Quest Diagnostics,medical health doctor,372.53,Healthcare
AMC Theaters,entertainment,42.74,Entertainment
Xbox,entertainment game streaming #1086,34.24,Entertainment
Chipotle,dinner takeout,799.95,Food & Dining
H&M,clothes #9869,160.05,Shopping
Target,electronics,162.24,Shopping
CVS,medicine #3646,375.67,Healthcare
Miscellaneous,other payment service,153.65,Others
Metro,gas fuel taxi,26.5,Transportation
Amazon,clothes accessories purchase,230.01,Shopping
Shell,gas taxi transit,32.5,Transportation
Unknown Vendor,payment misc #7727,184.51,Others
Verizon,utility,436.48,Bills & Utilities
Unknown Vendor,other #8770,102.32,Others
Walmart,meat #2022,140.21,Groceries
Whole Foods,bread,57.9,Groceries
Lyft,taxi fuel transportation,16.13,Transportation
AMC Theaters,streaming,22.69,Entertainment
Metro,taxi transportation transit,33.14,Transportation
BP,taxi,61.69,Transportation
BP,fuel taxi ride,36.93,Transportation
Whole Foods,produce,27.45,Groceries
Lyft,fuel,15.69,Transportation
Walmart,groceries produce food #6837,135.76,Groceries
Local Clinic,health prescription #1788,302.3,Healthcare
Amazon,accessories clothes #9485,23.9,Shopping
BP,transit gas #7371,37.62,Transportation
Target,clothes purchase shoes,218.37,Shopping
Netflix,music game entertainment,23.33,Entertainment
Spotify,entertainment movie streaming,29.39,Entertainment
Various Services,service payment other,172.8,Others
Chipotle,takeout restaurant,103.52,Food & Dining
Subway,delivery,686.83,Food & Dining
Quest Diagnostics,doctor #3068,210.76,Healthcare
Amazon,electronics #8302,143.62,Shopping
H&M,purchase electronics #9781,68.38,Shopping
Miscellaneous,other service misc #5147,334.42,Others
Safeway,groceries dairy meat #7624,139.43,Groceries
H&M,purchase clothes,40.68,Shopping
Electric Company,monthly,966.08,Bills & Utilities
BP,taxi transportation,39.43,Transportation
CVS,medicine prescription,372.24,Healthcare
Miscellaneous,service,902.98,Others
Spotify,entertainment,12.96,Entertainment
Trader Joes,meat produce groceries #5537,198.13,Groceries
Local Clinic,doctor,429.88,Healthcare
Verizon,payment bill utility,570.27,Bills & Utilities
Spotify,streaming movie,35.19,Entertainment
Nike,purchase shoes,230.34,Shopping
McDonalds,meal,567.14,Food & Dining
Best Buy,clothes,66.2,Shopping
Water Service,utility #1532,471.4,Bills & Utilities
Whole Foods,food groceries meat,105.06,Groceries
Whole Foods,groceries bread #9671,69.48,Groceries
Quest Diagnostics,medicine medical #1807,407.92,Healthcare
AT&T,bill,625.23,Bills & Utilities
Metro,taxi #2893,5.13,Transportation
Nike,shoes accessories,86.57,Shopping
Netflix,music,18.6,Entertainment
Walmart,groceries,23.68,Groceries
Uber,transit,43.84,Transportation
Local Restaurant,lunch dinner,768.51,Food & Dining
Miscellaneous,payment general,433.0,Others
Nike,clothes purchase,155.33,Shopping
Amazon,purchase accessories #4436,44.06,Shopping
Miscellaneous,payment service #9831,800.12,Others
Miscellaneous,general service other #4751,710.45,Others
Lyft,gas,49.58,Transportation
Miscellaneous,service general,274.67,Others
Uber,transit,50.02,Transportation
Metro,taxi ride fuel #6626,24.6,Transportation
Miscellaneous,other,889.47,Others
Verizon,monthly service utility,54.37,Bills & Utilities
Electric Company,service payment,841.56,Bills & Utilities
H&M,shoes clothes,28.47,Shopping
Uber,gas ride transportation,39.64,Transportation
Uber,transit taxi transportation,74.11,Transportation
Steam,streaming game,14.65,Entertainment
Local Restaurant,takeout restaurant,865.39,Food & Dining
McDonalds,takeout lunch #2667,515.82,Food & Dining
H&M,shoes accessories #5611,24.92,Shopping
Steam,movie music entertainment,16.48,Entertainment
Local Restaurant,meal delivery dinner #5614,550.4,Food & Dining
Water Service,monthly payment,833.41,Bills & Utilities
Walgreens,prescription medicine health,488.0,Healthcare
Miscellaneous,other,303.56,Others
Safeway,groceries dairy #4474,135.47,Groceries
Shell,transit ride #9852,16.78,Transportation
Walgreens,health medical,215.18,Healthcare
Various Services,service payment misc,356.12,Others
Walgreens,health prescription medicine,407.63,Healthcare
Trader Joes,groceries #9546,55.61,Groceries
Subway,dinner takeout lunch,285.02,Food & Dining
AT&T,utility payment bill #5023,552.24,Bills & Utilities
Miscellaneous,misc,547.0,Others
Unknown Vendor,other misc #3741,36.18,Others
H&M,clothes,272.25,Shopping
Subway,takeout lunch restaurant #5118,417.56,Food & Dining
Xbox,music,34.08,Entertainment
Steam,music entertainment #1416,16.52,Entertainment
Steam,game streaming movie,36.85,Entertainment
Various Services,service misc other #8973,208.17,Others
Water Service,bill utility #6357,423.72,Bills & Utilities
Shell,transit gas taxi,38.71,Transportation
Kroger,meat produce bread,24.01,Groceries
Steam,streaming movie #2076,16.43,Entertainment
Various Services,other,126.33,Others
BP,transit taxi fuel #8766,6.09,Transportation
Miscellaneous,general misc,50.07,Others
Subway,lunch delivery #9038,372.66,Food & Dining
Kroger,meat groceries dairy,173.97,Groceries
Walmart,dairy produce food #1312,109.35,Groceries
Lyft,transportation transit ride,9.36,Transportation
McDonalds,takeout,913.72,Food & Dining
Pizza Hut,dinner #4046,41.41,Food & Dining
Quest Diagnostics,medical prescription doctor,380.03,Healthcare
Best Buy,electronics clothes shoes,48.39,Shopping
AMC Theaters,music entertainment #1809,41.87,Entertainment
Xbox,streaming game,45.99,Entertainment
Miscellaneous,payment misc other,807.18,Others
Kroger,dairy food #2959,33.77,Groceries
CVS,prescription medical,135.83,Healthcare
Local Clinic,health medicine,151.78,Healthcare
Target,accessories electronics,231.23,Shopping
H&M,accessories shoes electronics,205.07,Shopping
Miscellaneous,other general service,695.39,Others
Target,shoes clothes,17.58,Shopping
Whole Foods,produce bread,92.1,Groceries
Quest Diagnostics,medicine medical #7593,455.09,Healthcare
AMC Theaters,entertainment game movie,36.04,Entertainment
McDonalds,restaurant delivery #8116,827.84,Food & Dining
Local Restaurant,takeout delivery,954.22,Food & Dining
Local Clinic,medicine,101.55,Healthcare
Best Buy,electronics purchase clothes,251.88,Shopping
Safeway,produce,91.66,Groceries
Metro,ride,9.25,Transportation
Steam,movie music game,41.14,Entertainment
Subway,delivery dinner,163.97,Food & Dining
Electric Company,payment,886.42,Bills & Utilities
Walmart,bread,104.91,Groceries
Lyft,ride transit fuel #7069,11.43,Transportation
Local Restaurant,lunch takeout delivery,977.92,Food & Dining
Trader Joes,groceries food,80.39,Groceries
Trader Joes,meat groceries dairy #6628,94.01,Groceries
Target,clothes accessories electronics,126.8,Shopping
Lyft,fuel transit gas #4944,6.48,Transportation
Miscellaneous,general #5850,871.07,Others
McDonalds,delivery lunch dinner,71.2,Food & Dining
Pizza Hut,dinner meal,121.18,Food & Dining
BP,gas transportation,30.18,Transportation
Subway,delivery dinner #7121,982.45,Food & Dining
Unknown Vendor,payment,837.36,Others
Miscellaneous,service other misc,793.95,Others
Steam,music streaming,18.28,Entertainment
Local Clinic,medicine medical health,100.35,Healthcare
Electric Company,bill service #4049,184.8,Bills & Utilities
Walgreens,prescription medicine medical,461.13,Healthcare
Walgreens,prescription medical doctor #9544,439.62,Healthcare
Safeway,groceries bread,129.46,Groceries
Unknown Vendor,service,512.16,Others
Amazon,shoes clothes,140.89,Shopping
McDonalds,takeout restaurant dinner,937.54,Food & Dining
CVS,medicine medical #2589,63.82,Healthcare
Whole Foods,bread,34.48,Groceries
Pizza Hut,lunch delivery,81.2,Food & Dining
Local Clinic,medicine health,411.78,Healthcare
Uber,ride,53.24,Transportation
Kroger,meat,124.09,Groceries
Walgreens,prescription medicine health,113.22,Healthcare
Local Clinic,medical health #5609,168.33,Healthcare
Spotify,music streaming,27.78,Entertainment
Shell,gas,31.93,Transportation
Kroger,dairy meat #7185,153.49,Groceries
McDonalds,restaurant #9866,802.69,Food & Dining
Safeway,dairy groceries bread #9324,155.97,Groceries
McDonalds,takeout #9662,669.47,Food & Dining
Walgreens,doctor prescription medical #2486,126.93,Healthcare
Uber,taxi fuel transportation,72.74,Transportation
Chipotle,delivery meal takeout,239.57,Food & Dining
Nike,accessories shoes purchase,56.31,Shopping
Amazon,shoes accessories #6312,50.88,Shopping
Local Clinic,health prescription,241.04,Healthcare
Unknown Vendor,misc service,187.82,Others
CVS,health,167.96,Healthcare
Spotify,streaming,35.18,Entertainment
McDonalds,meal dinner,852.83,Food & Dining
Netflix,entertainment streaming,43.8,Entertainment
Miscellaneous,general misc other,834.1,Others
Local Clinic,medicine medical #5860,303.47,Healthcare
Safeway,food bread produce,61.92,Groceries
Miscellaneous,other service,559.91,Others
Whole Foods,meat dairy bread #4492,167.72,Groceries
Netflix,streaming game,12.2,Entertainment
Steam,movie streaming game #9595,30.82,Entertainment
Various Services,other service misc,92.63,Others
Walgreens,prescription medical,493.86,Healthcare
Target,purchase shoes accessories #4711,93.74,Shopping
AMC Theaters,game entertainment movie,12.21,Entertainment
Unknown Vendor,general misc service #1007,716.59,Others
Various Services,payment #2085,527.56,Others
Electric Company,service monthly bill,564.67,Bills & Utilities
Electric Company,bill monthly utility,361.75,Bills & Utilities
Lyft,fuel,20.26,Transportation
Nike,electronics,279.84,Shopping
Subway,takeout lunch delivery #8544,711.98,Food & Dining
Netflix,entertainment,11.89,Entertainment
Best Buy,electronics #8969,21.9,Shopping
Target,purchase,161.18,Shopping
Electric Company,monthly #6169,682.42,Bills & Utilities
Kroger,produce bread food #6199,88.87,Groceries
Whole Foods,bread #4243,191.6,Groceries
Xbox,game movie streaming,30.36,Entertainment
Verizon,utility bill,182.8,Bills & Utilities
Quest Diagnostics,prescription #5746,445.42,Healthcare
H&M,shoes #3402,195.94,Shopping
Subway,delivery,321.19,Food & Dining
Various Services,other service misc,518.45,Others
Water Service,utility payment,651.42,Bills & Utilities
Lyft,ride,8.73,Transportation
Spotify,movie game #1343,23.01,Entertainment
Best Buy,accessories #1420,23.39,Shopping
Unknown Vendor,payment other,678.33,Others
Kroger,meat groceries dairy,81.89,Groceries
Shell,fuel transit taxi #5115,27.46,Transportation
CVS,doctor,109.25,Healthcare
Nike,shoes purchase clothes #1474,120.41,Shopping
AT&T,bill payment,675.32,Bills & Utilities
Amazon,electronics accessories,55.65,Shopping
Nike,purchase shoes,136.22,Shopping
Steam,streaming movie entertainment,32.32,Entertainment
Quest Diagnostics,doctor #8734,216.86,Healthcare
Best Buy,shoes clothes purchase #3233,200.93,Shopping
Shell,fuel ride,70.82,Transportation
Lyft,taxi #4643,27.02,Transportation
Trader Joes,dairy meat food,183.17,Groceries
AT&T,bill service payment,846.32,Bills & Utilities
Verizon,service bill payment,609.23,Bills & Utilities
Amazon,shoes,92.16,Shopping
Miscellaneous,other #9095,653.58,Others
Whole Foods,dairy,76.57,Groceries
Shell,taxi gas transit,47.43,Transportation
Trader Joes,groceries,71.21,Groceries
Target,shoes,85.64,Shopping
